Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
4 Days Per Week,Day 3,Thursday,TRICEPS,Tricep Extensions,7-8,3,6,N/A,9
4 Days Per Week,Day 3,Thursday,GLUTEs,BB hip thrust,1-2,3,10-12,N/A,8
4 Days Per Week,Day 3,Thursday,GLUTEs,BB hip thrust,3-4,3,8-10,N/A,8
4 Days Per Week,Day 3,Thursday,GLUTEs,BB hip thrust,5-6,3,6-8,N/A,9
4 Days Per Week,Day 3,Thursday,GLUTEs,BB hip thrust,7-8,3,6,N/A,9
4 Days Per Week,Day 3,Thursday,ABS,Hanging Leg Raise,1-8,3,15-20,N/A,8
4 Days Per Week,Day 4,Friday,HAMSTRINGS COMPOUND,Conventional Deadlift,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 4,Friday,HAMSTRINGS COMPOUND,Conventional Deadlift,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,HAMSTRINGS COMPOUND,Conventional Deadlift,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 4,Friday,HAMSTRINGS COMPOUND,Conventional Deadlift,7-8,3,5,N/A,9
4 Days Per Week,Day 4,Friday,QUADS COMPOUND,Leg Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 4,Friday,QUADS COMPOUND,Leg Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,QUADS COMPOUND,Leg Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 4,Friday,QUADS COMPOUND,Leg Press,7-8,3,5,N/A,9
4 Days Per Week,Day 4,Friday,VERTICAL PULL,Pull Up U/H,1-8,3,AMRAP,N/A,N/A
4 Days Per Week,Day 4,Friday,HORIZONTAL ROW,DB Row,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 4,Friday,HORIZONTAL ROW,DB Row,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,HORIZONTAL ROW,DB Row,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 4,Friday,HORIZONTAL ROW,DB Row,7-8,3,5,N/A,9
4 Days Per Week,Day 4,Friday,VERTICAL PUSH,DB Shoulder Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 4,Friday,VERTICAL PUSH,DB Shoulder Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,VERTICAL PUSH,DB Shoulder Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 4,Friday,VERTICAL PUSH,DB Shoulder Press,7-8,3,5,N/A,9
4 Days Per Week,Day 4,Friday,HORIZONTAL PUSH,Incline BB Press,1-2,3,10-12,N/A,7-8
4 Days Per Week,Day 4,Friday,HORIZONTAL PUSH,Incline BB Press,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,HORIZONTAL PUSH,Incline BB Press,5-6,3,6-8,N/A,8-9
4 Days Per Week,Day 4,Friday,HORIZONTAL PUSH,Incline BB Press,7-8,3,5,N/A,9
4 Days Per Week,Day 4,Friday,DELTS,Face Pull,1-2,3,12-15,N/A,8
4 Days Per Week,Day 4,Friday,DELTS,Face Pull,3-4,3,10-12,N/A,8
4 Days Per Week,Day 4,Friday,DELTS,Face Pull,5-6,3,8-10,N/A,9
4 Days Per Week,Day 4,Friday,DELTS,Face Pull,7-8,3,8,N/A,9
4 Days Per Week,Day 4,Friday,BICEPS,DB Curl,1-2,3,10-12,N/A,8
4 Days Per Week,Day 4,Friday,BICEPS,DB Curl,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,BICEPS,DB Curl,5-6,3,6-8,N/A,9
4 Days Per Week,Day 4,Friday,BICEPS,DB Curl,7-8,3,6,N/A,9
4 Days Per Week,Day 4,Friday,TRICEPS,Dips,1-2,3,10-12,N/A,8
4 Days Per Week,Day 4,Friday,TRICEPS,Dips,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,TRICEPS,Dips,5-6,3,6-8,N/A,9
4 Days Per Week,Day 4,Friday,TRICEPS,Dips,7-8,3,6,N/A,9
4 Days Per Week,Day 4,Friday,GLUTEs,Glute Bridge,1-2,3,10-12,N/A,8
4 Days Per Week,Day 4,Friday,GLUTEs,Glute Bridge,3-4,3,8-10,N/A,8
4 Days Per Week,Day 4,Friday,GLUTEs,Glute Bridge,5-6,3,6-8,N/A,9
4 Days Per Week,Day 4,Friday,GLUTEs,Glute Bridge,7-8,3,6,N/A,9
4 Days Per Week,Day 4,Friday,ABS,Seated Calf Raise,1-8,3,15-20,N/A,8
