Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Leg Press,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Leg Press,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Leg Press,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Stiff Leg Deadlift,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Stiff Leg Deadlift,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Stiff Leg Deadlift,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Stiff Leg Deadlift,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,Pull Up Mid,3,AMRAP,AMRAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,SA DB Row,3,Straight,10-12,10,12,N/A,N/A,N/A,N/A,7-8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,SA DB Row,3,Straight,8-10,8,10,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,SA DB Row,3,Straight,6-8,6,8,N/A,N/A,N/A,N/A,8-9,N/A,N/A,N/A,N/A
Female Physique Template,N/A,8-week strength and hypertrophy program,8 weeks,Advanced,Standard Gym,5,Mesocycle 1,Weeks 1-8,1,Microcycle 1,Weeks 1-8,1,Day 3,Wednesday,N/A,SA DB Row,3,Straight,5,5,5,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A
