Weekly Schedule,Day,Day of Week,Muscle Group,Exercise,Week,Sets,Reps,Load,RPE
5 Days Per Week,Day 4,Thursday,HORIZONTAL ROW,Seated Cable Row,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 4,Thursday,HORIZONTAL ROW,Seated Cable Row,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,HORIZONTAL ROW,Seated Cable Row,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 4,Thursday,HORIZONTAL ROW,Seated Cable Row,7-8,3,5,N/A,9
5 Days Per Week,Day 4,Thursday,VERTICAL PUSH,DB Shoulder Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 4,Thursday,VERTICAL PUSH,DB Shoulder Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,VERTICAL PUSH,DB Shoulder Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 4,Thursday,VERTICAL PUSH,DB Shoulder Press,7-8,3,5,N/A,9
5 Days Per Week,Day 4,Thursday,HORIZONTAL PUSH,DB Bench Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 4,Thursday,HORIZONTAL PUSH,DB Bench Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,HORIZONTAL PUSH,DB Bench Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 4,Thursday,HORIZONTAL PUSH,DB Bench Press,7-8,3,5,N/A,9
5 Days Per Week,Day 4,Thursday,DELTS,DB Side Raise,1-2,3,12-15,N/A,8
5 Days Per Week,Day 4,Thursday,DELTS,DB Side Raise,3-4,3,10-12,N/A,8
5 Days Per Week,Day 4,Thursday,DELTS,DB Side Raise,5-6,3,8-10,N/A,9
5 Days Per Week,Day 4,Thursday,DELTS,DB Side Raise,7-8,3,8,N/A,9
5 Days Per Week,Day 4,Thursday,BICEPS,Barbell Curl,1-2,3,10-12,N/A,8
5 Days Per Week,Day 4,Thursday,BICEPS,Barbell Curl,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,BICEPS,Barbell Curl,5-6,3,6-8,N/A,9
5 Days Per Week,Day 4,Thursday,BICEPS,Barbell Curl,7-8,3,6,N/A,9
5 Days Per Week,Day 4,Thursday,TRICEPS,Tricep Extensions,1-2,3,10-12,N/A,8
5 Days Per Week,Day 4,Thursday,TRICEPS,Tricep Extensions,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,TRICEPS,Tricep Extensions,5-6,3,6-8,N/A,9
5 Days Per Week,Day 4,Thursday,TRICEPS,Tricep Extensions,7-8,3,6,N/A,9
5 Days Per Week,Day 4,Thursday,GLUTEs,BB hip thrust,1-2,3,10-12,N/A,8
5 Days Per Week,Day 4,Thursday,GLUTEs,BB hip thrust,3-4,3,8-10,N/A,8
5 Days Per Week,Day 4,Thursday,GLUTEs,BB hip thrust,5-6,3,6-8,N/A,9
5 Days Per Week,Day 4,Thursday,GLUTEs,BB hip thrust,7-8,3,6,N/A,9
5 Days Per Week,Day 4,Thursday,ABS,Hanging Leg Raise,1-8,3,15-20,N/A,8
5 Days Per Week,Day 4,Thursday,GLUTES (ACCESSORY),Glute Abduction,1-8,3,15-20,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Barbell Lunge,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Barbell Lunge,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Barbell Lunge,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Barbell Lunge,7-8,3,5,N/A,9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Leg Extension,1-2,3,12-15,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Leg Extension,3-4,3,10-12,N/A,8
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Leg Extension,5-6,3,8-10,N/A,9
5 Days Per Week,Day 5,Friday,QUADS COMPOUND,Leg Extension,7-8,3,8,N/A,9
5 Days Per Week,Day 5,Friday,HORIZONTAL ROW,DB Row,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 5,Friday,HORIZONTAL ROW,DB Row,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,HORIZONTAL ROW,DB Row,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 5,Friday,HORIZONTAL ROW,DB Row,7-8,3,5,N/A,9
5 Days Per Week,Day 5,Friday,HORIZONTAL PUSH,Incline DB Press,1-2,3,10-12,N/A,7-8
5 Days Per Week,Day 5,Friday,HORIZONTAL PUSH,Incline DB Press,3-4,3,8-10,N/A,8
5 Days Per Week,Day 5,Friday,HORIZONTAL PUSH,Incline DB Press,5-6,3,6-8,N/A,8-9
5 Days Per Week,Day 5,Friday,HORIZONTAL PUSH,Incline DB Press,7-8,3,5,N/A,9
5 Days Per Week,Day 5,Friday,DELTS,Face Pull,1-2,3,12-15,N/A,8
5 Days Per Week,Day 5,Friday,DELTS,Face Pull,3-4,3,10-12,N/A,8
5 Days Per Week,Day 5,Friday,DELTS,Face Pull,5-6,3,8-10,N/A,9
5 Days Per Week,Day 5,Friday,DELTS,Face Pull,7-8,3,8,N/A,9
