Week,Day,Block,Training Type,Exercise,Sets,Reps,%1RM,RPE,Rest (minutes),Notes,LSRPE
4,3,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LEG RAISE VARIATION (ABS),3,10-12,,9,1.5,"CAN PERFORM HANGING, ROMAN CHAIR OR LYING-CHALLENGE YOURSELFI",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),WIDE GRIP LAT PULLDOWN,3,8-10,,9,1.5,"LEAN BACK 30, USE SLIGHT MOMENTUM, LAST SET TO FAILURE",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),1-ARM DUMBBELL ROW,3,10-12,,9,1.5,"PULL DUMBBELL ""TO BACK POCKET"", STRETCH ON LATS AT THE BOTTOM",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),INCLINE DUMBBELL FLYE,3,12-15,,9,1.5,"45 INCLINE, MIND MUSCLE CONNECTION WITH UPPER PECS",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),DUMBBELL RAISE COMPLEX,2,15-15-15,,9,1.5,"15 SIDE RAISES, 15 FRONT RAISES, 15 REAR DELT FLYES, NO REST = 1 SET",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED FRONT RAISE,2,30,,10,1.5,"STAND IN THE MIDDLE OF A BAND AND PERFORM FRONT RAISES, FASTER TEMPO, CONSTANT TENSION ON DELTS",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED SQUAT BOUNCER,3,20-25,,9,1.0,"2/3 BOTTOM RANGE OF MOTION, BAND AROUND KNEES, CONSTANT TENSION ON GLUTES",
4,4,BLOCK 1-ACCUMULATION,UPPER BODY + GLUTE (METABOLIC),BANDED ABDUCTION (SEATED),2,20-25,,9,1.0,"BAND AROUND KNEES, FOCUS ON DRIVING KNEES OUT, FEEL GLUTE MEDIUS TO ENSURE ACTIVATION",
4,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),WALKING LUNGE,3,30,,8,1.5,"30 TOTAL STRIDES, USE DUMBBELLS OR A BARBELL (LESS TRAP INVOLVEMENT WITH BARBELL)",
4,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),CABLE PULLTHROUGH,4,15-20,,9,1.0,"USE ROPE ATTACHMENT, SLIGHT BEND IN KNEES, SET HIPS BACK TO FEEL BIG STRETCH IN GLUTES, EXPLOSIVELY THRUST HIPS FORWARD",
4,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),LOWER BACK EXTENSION,3,15-20,,9,1.0,"SLIGHTLY ROUND LOWER BACK, 15 FOOT FLARE, SQUEEZE GLUTES AT THE TOP OF EACH REP",
4,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),BANDED SIDE WALK,2,40,,8,1.0,"20 REPS EACH DIRECTION, MINIBAND AROUND FEET OR FULL BAND AROUND KNEES, SLIGHT BEND AT HIPS, SHORT-6 INCHSTEPS",
4,5,BLOCK 1-ACCUMULATION,LOWER BODY (HYPERTROPHY),FROG PUMP,2,30-50,,8,1.0,"HARD GLUTE SQUEEZE AT THE TOP OF EACH REP, FASTER TEMPO, CHALLENGE YOURSELF FOR MORE REPS EACH WEEK!",
5,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),BACK SQUAT,3,7,"75-80%",8.5,3.0,"DRIVE THROUGH HEELS, KEEP KNEES OUT IN DIRECTION OF TOES, WIDER STANCE, 15' FOOT FLARE",
5,1,BLOCK 1-ACCUMULATION,LOWER BODY (STRENGTH),ROMANIAN DEADLIFT,4,6-8,,8,1.5,"SET HIPS BACK UNTIL STRETCH IS FELT IN HAMSTRINGS, THRUST HIPS FORWARD AND SQUEEZE GLUTES HARD AT THE TOP",
